Var5,Var7,Var11,Var12,Var13
A16779,2025/08/12 01:39:58.120,8077.38834188952,42.4169224559555,-71.505525716095
A16779,2025/08/12 01:39:59.090,8095.70072046905,42.4163865414423,-71.5060381987743
A16779,2025/08/12 01:40:00.635,8122.53394550655,42.415528863462,-71.5068483344623
A16779,2025/08/12 01:40:01.227,8129.3136657236,42.4152009786617,-71.5071702090194
A16779,2025/08/12 01:40:01.819,8133.85122390473,42.4148886984969,-71.5074946499161
A16779,2025/08/12 01:40:02.269,8143.28757256087,42.4146430892903,-71.5077396555541
A16779,2025/08/12 01:40:02.828,8151.28368367111,42.4143341234569,-71.5080445308836
A16779,2025/08/12 01:40:03.402,8157.22707255912,42.4140210547053,-71.5083479977108
A16779,2025/08/12 01:40:03.968,8161.32074258205,42.413711719774,-71.5086753366104
A16779,2025/08/12 01:40:05.104,8176.09854339247,42.4131099986804,-71.5093033009729
A16779,2025/08/12 01:40:05.548,8187.02068591497,42.4128672668083,-71.5095483274837
A16779,2025/08/12 01:40:05.989,8195.09656243422,42.4126306645726,-71.5097992518908
A16779,2025/08/12 01:40:06.968,8206.90058484892,42.4121090484562,-71.5103585765998
A16779,2025/08/12 01:40:07.423,8209.87620730782,42.4118684953392,-71.5105988577159
A16779,2025/08/12 01:40:08.303,8222.63335432699,42.4113931957617,-71.5110763304422
A16779,2025/08/12 01:40:36.664,8649.97561520096,42.3955619040394,-71.5264858179118
A16779,2025/08/12 01:40:37.202,8667.25645246928,42.3952607727316,-71.5267582350713
A16779,2025/08/12 01:40:38.277,8681.41275165764,42.3946531798854,-71.527348426951
A16779,2025/08/12 01:40:38.723,8684.40269962596,42.3944063336747,-71.5275969395963
A16779,2025/08/12 01:40:44.668,8775.46109606185,42.3910805460742,-71.5308804828231
A16779,2025/08/12 01:40:45.567,8795.27750340253,42.3905706101265,-71.5313893383902
A16779,2025/08/12 01:40:46.085,8802.24084357248,42.3902839587891,-71.5316730296863
A16779,2025/08/12 01:40:46.628,8807.10320915161,42.3899619975575,-71.5319926676012
A16779,2025/08/12 01:40:50.078,8853.17578833376,42.3880139353036,-71.5339091597269
A16779,2025/08/12 01:40:54.112,8921.77456304598,42.3857531828588,-71.5361183813388
A16779,2025/08/12 01:40:54.597,8927.38497488124,42.3854639505182,-71.5363874395354
A16779,2025/08/12 01:40:57.622,8975.19108643648,42.3837597035043,-71.5380528223199
A16779,2025/08/12 01:40:58.192,8979.84774574217,42.3834205177714,-71.5383903900237
A16779,2025/08/12 01:40:58.693,8982.62406700555,42.383125355713,-71.5386652462876
A16779,2025/08/12 01:40:59.664,8997.4475593342,42.3825672517843,-71.5392302368237
A16779,2025/08/12 01:41:00.133,9002.7076012628,42.3822919887333,-71.5394996948912
A16779,2025/08/12 01:41:00.604,9006.45770520002,42.3820284804824,-71.5397673895839
A16779,2025/08/12 01:41:01.134,9016.60105821496,42.3817253089584,-71.5400707372058
A16779,2025/08/12 01:41:01.696,9024.54414251427,42.3814069530644,-71.5403921301474
A16779,2025/08/12 01:41:02.293,9030.73722293591,42.3810739911673,-71.5407419846694
A16779,2025/08/12 01:41:02.749,9040.12542679961,42.3808194245917,-71.5410131350955
A16779,2025/08/12 01:41:03.261,9048.01155875596,42.3805323521844,-71.5413160811692
A16779,2025/08/12 01:41:03.710,9053.41296222427,42.3802870460243,-71.5415792553644
A16779,2025/08/12 01:41:04.208,9063.71058859107,42.3800155119629,-71.5418677818184
A16779,2025/08/12 01:41:04.752,9072.50528264692,42.3797095919929,-71.542184413057
A16779,2025/08/12 01:41:05.245,9078.82290889197,42.3794345151141,-71.5424846730528
A16779,2025/08/12 01:41:05.668,9082.94588852622,42.3792005154225,-71.542742791403
A16779,2025/08/12 01:41:06.101,9091.34412949291,42.3789637830595,-71.5430035548981
A16779,2025/08/12 01:41:06.633,9099.36859822041,42.3786641144636,-71.5433202106726
A16779,2025/08/12 01:41:07.140,9105.46630492752,42.3783741781879,-71.5436311135157
A16779,2025/08/12 01:41:07.697,9110.7170268451,42.3780757952383,-71.5439609636309
A16779,2025/08/12 01:41:14.946,9223.61467715361,42.3741088435042,-71.5484640952075
A16779,2025/08/12 01:41:15.398,9227.93755971145,42.3738794921014,-71.5487601344102
AB8E3A,2025/08/12 01:43:44.584,4300,42.38919,-71.2588875274332
AB8E3A,2025/08/12 01:44:03.691,4300,42.3980598488348,-71.2660677147445
AB8E3A,2025/08/12 01:44:04.687,4300,42.3985211285741,-71.2664547747062
AB8E3A,2025/08/12 01:44:05.177,4300,42.3987526337309,-71.2666606187869
AB8E3A,2025/08/12 01:44:05.618,4300,42.3989521849813,-71.2668236941091
AB8E3A,2025/08/12 01:44:12.692,4300,42.4022689982884,-71.2695696346199
AB8E3A,2025/08/12 01:44:14.182,4300,42.4029676603798,-71.2701335675791
AB8E3A,2025/08/12 01:44:14.604,4300,42.4031595903626,-71.2703012762661
AB8E3A,2025/08/12 01:44:15.009,4300,42.4033461235256,-71.2704491440305
AB8E3A,2025/08/12 01:44:15.504,4300,42.4035836040002,-71.2706483181231
AB8E3A,2025/08/12 01:44:16.040,4300,42.4038222357235,-71.2708593762253
AB8E3A,2025/08/12 01:44:19.066,4300,42.4052492896234,-71.2720517518817
AB8E3A,2025/08/12 01:44:19.566,4300,42.4054859810365,-71.2722443170676
AB8E3A,2025/08/12 01:44:20.056,4300,42.4057235837071,-71.2724432341715
AB8E3A,2025/08/12 01:44:20.470,4300,42.4059187658911,-71.2726006410403
AB8E3A,2025/08/12 01:44:20.950,4300,42.4061516440768,-71.272791334478
AB8E3A,2025/08/12 01:44:21.351,4300,42.4063458715946,-71.2729431279035
AB8E3A,2025/08/12 01:44:22.972,4300,42.4071036232449,-71.2735664182278
AB8E3A,2025/08/12 01:44:30.777,4300,42.4107951117951,-71.2766073791311
AB8E3A,2025/08/12 01:44:34.171,4300,42.4123993793328,-71.2779234278535
AB8E3A,2025/08/12 01:44:34.619,4300,42.4126188565569,-71.2781027294712
AB8E3A,2025/08/12 01:44:35.127,4300,42.4128594769098,-71.2782902874528
AB8E3A,2025/08/12 01:44:36.049,4300,42.4133032150848,-71.2786708172039
AB8E3A,2025/08/12 01:44:36.490,4300,42.4135115774895,-71.2788450904791
AB8E3A,2025/08/12 01:44:37.036,4300,42.4137592850622,-71.2790562697704
AB8E3A,2025/08/12 01:44:38.011,4300,42.4142229626299,-71.2794320224299
AB8E3A,2025/08/12 01:44:38.531,4300,42.4144606196127,-71.2796305634535
AB8E3A,2025/08/12 01:44:39.019,4300,42.414690532352,-71.2798316249776
AB8E3A,2025/08/12 01:44:39.461,4300,42.4149019619747,-71.2800197241176
AB8E3A,2025/08/12 01:44:39.980,4300,42.4151478147477,-71.2802256173395
AB8E3A,2025/08/12 01:44:40.570,4300,42.4154388227,-71.2804641651972
AB8E3A,2025/08/12 01:44:42.186,4300,42.4162034603774,-71.2811053030026
AB8E3A,2025/08/12 01:44:42.589,4300,42.4163897113784,-71.2812531198353
AB8E3A,2025/08/12 01:44:43.527,4300,42.4168288744677,-71.2816144296804
AB8E3A,2025/08/12 01:44:43.996,4300,42.4170566307675,-71.2817956093172
AB8E3A,2025/08/12 01:44:44.581,4300,42.4173355443459,-71.2820294022419
AB8E3A,2025/08/12 01:44:45.158,4300,42.417612228265,-71.2822661795548
AB8E3A,2025/08/12 01:44:45.573,4300,42.4178208673992,-71.2824268801305
AB8E3A,2025/08/12 01:44:46.123,4300,42.4180791803823,-71.2826366427316
AB8E3A,2025/08/12 01:44:47.088,4300,42.4185388309092,-71.283010373281
AB8E3A,2025/08/12 01:44:47.515,4300,42.4187353150775,-71.2831813887969
AB8E3A,2025/08/12 01:44:48.041,4300,42.418986487244,-71.2833763997056
AB8E3A,2025/08/12 01:44:48.596,4300,42.4192559696873,-71.2835950041939
AB8E3A,2025/08/12 01:44:49.023,4300,42.4194565895208,-71.2837526092097
AB8E3A,2025/08/12 01:44:49.490,4300,42.4196846930314,-71.2839415317481
AB8E3A,2025/08/12 01:44:50.014,4300,42.4199274005171,-71.2841529639022
AB8E3A,2025/08/12 01:44:50.517,4300,42.4201674944119,-71.2843470255795
AB8E3A,2025/08/12 01:44:50.925,4300,42.4203582846741,-71.2844962218907
AB8E3A,2025/08/12 01:44:51.479,4300,42.4206238422038,-71.2847170155747
AB8E3A,2025/08/12 01:44:52.046,4300,42.4208982543328,-71.2849505815834
AB8E3A,2025/08/12 01:44:52.984,4300,42.4213534490734,-71.2853090423469
AB8E3A,2025/08/12 01:44:54.000,4300,42.4218358917866,-71.2856890131222
AB8E3A,2025/08/12 01:44:54.454,4300,42.4220616431626,-71.2858697842806
AB8E3A,2025/08/12 01:44:55.323,4300,42.4224684162489,-71.2862046583018
AB8E3A,2025/08/12 01:44:55.749,4300,42.4226805653947,-71.2863823869583
AB8E3A,2025/08/12 01:44:56.329,4300,42.4229435182925,-71.286599800817
AB8E3A,2025/08/12 01:45:25.204,4300,42.4367095843711,-71.2978977731248
AB8E3A,2025/08/12 01:45:33.775,4300,42.4407851019794,-71.3012634672884
AB8E3A,2025/08/12 01:45:37.437,4300,42.4425244920593,-71.3027040848409
AB8E3A,2025/08/12 01:45:39.284,4300,42.4434021276316,-71.3034331419569
AB8E3A,2025/08/12 01:45:40.277,4300,42.4438871371014,-71.3038217335984
AB8E3A,2025/08/12 01:45:40.825,4300,42.4441397863719,-71.304031636949
